345,0,4,-15
346,0,8,-156
347,0,8,-146
348,0,6,-133
349,0,19,-94
350,0,6,-132
351,0,6,-147
352,0,6,-37
353,0,7,-88
354,0,14,-160
355,0,9,-173
356,0,22,-158
357,0,80,-417
358,4,50,24
359,0,10,-57
360,0,25,-283
361,1,20,-98
362,2,48,-101
363,3,28,-97
364,2,34,2
365,0,6,-140
366,0,6,-52
367,0,64,-242
368,0,7,19
369,0,6,-52
370,0,10,-110
371,0,12,-110
372,12,121,-69
373,0,10,-155
374,3,24,60
375,0,14,93
376,0,6,-54
377,6,106,-57
378,0,5,-151
379,6,64,10
380,0,17,-133
381,1,31,-194
382,0,5,-41
383,0,5,-151
384,0,10,-33
385,0,6,-10
386,0,9,-145
387,5,76,-225
388,1,53,-72
389,4,53,-60
390,3,36,-82
391,0,8,-124
392,0,8,-37
393,0,7,-5
394,1,18,-53
395,0,6,-54
396,0,10,-156
397,2,32,-23
398,0,11,-138
399,0,6,-102
400,0,11,-85
401,0,6,-150
402,0,6,-44
403,0,6,-125
404,5,93,-11
405,0,8,-7
406,0,6,-92
407,0,4,-22
408,1,30,-7
409,0,6,-95
410,0,7,-46
411,1,25,-115
412,0,9,-83
413,0,6,-54
414,0,4,-64
415,1,26,-121
416,0,8,-106
417,2,18,82
418,1,31,-105
419,1,17,-30
420,6,36,25
421,7,81,36
422,0,6,-135
423,1,31,-61
424,0,6,-140
425,15,122,-4
426,0,16,-65
427,0,6,-110
428,1,24,-102
429,0,6,-34
430,0,9,-80
431,1,16,-151
432,0,5,-140
433,1,21,-113
434,4,37,65
435,1,27,-150
436,0,6,-124
437,0,16,34
438,1,25,-103
439,0,6,-142
440,6,70,13
441,0,8,-105
442,0,6,-92
443,2,38,-127
444,0,4,-77
445,0,16,-167
446,0,6,-42
447,0,10,-69
448,0,6,-100
449,0,15,-27
450,1,17,49
451,0,21,-6
452,6,81,-3
453,0,6,-62
454,0,9,-135
455,0,6,-132
456,0,6,-54
457,0,28,-168
458,1,25,-69
459,0,6,-43
460,0,7,-125
461,0,19,-223
462,1,19,-124
463,0,6,-62
464,1,27,-98
465,9,85,266
466,0,7,-83
467,0,8,-47
468,1,21,-16
469,1,20,-53
470,6,89,-101
471,0,7,-104
472,1,23,39
473,2,62,-145
474,0,6,-77
475,0,11,-181
476,0,7,-36
477,0,6,-132
478,5,69,-36
479,0,5,-101
480,0,9,-40
481,8,106,-95
482,1,17,1
483,0,9,-108
484,0,6,-92
485,0,14,-73
486,0,10,-144
487,0,6,-42
488,0,9,-79
489,0,7,20
490,1,28,-162
491,0,14,-46
492,0,14,-3
493,0,6,-40
494,0,6,-94
495,1,17,-146
496,0,6,4
497,1,21,-121
498,0,4,-25
499,0,7,-53
500,0,9,-67
501,1,16,58
502,1,29,-119
503,1,28,-20
504,0,12,-139
505,4,36,86
506,0,18,-9
507,0,5,-66
508,12,143,-266
509,1,23,-58
510,1,19,-19
511,0,7,-13
512,4,41,-95
513,0,7,-150
514,2,52,-60
515,5,42,110
516,2,28,-107
517,0,12,-180
518,0,9,8
519,0,11,-74
520,1,15,-3
521,0,5,-61
522,1,21,21
523,1,34,-162
524,2,41,-182
525,12,125,-31
526,1,17,-42
527,0,22,-29
528,0,8,-55
529,0,13,-46
530,0,7,-148
531,1,30,59
532,2,40,-44
533,1,22,-25
534,0,7,-120
535,0,6,-137
536,0,13,-64
537,0,10,-113
538,1,17,-73
539,2,32,71
540,0,7,-133
541,2,18,41
542,0,11,-154
543,0,9,-155
544,0,6,-50
545,0,10,-153
546,9,100,-74
547,0,15,-153
548,0,7,-43
549,0,13,-80
550,0,7,-25
551,5,45,-128
552,0,18,-80
553,3,37,-29
554,1,34,-132
555,0,10,-19
556,0,6,-82
557,1,20,11
558,0,21,-96
559,2,26,-49
560,1,18,-41
561,0,7,-138
562,10,101,-51
563,3,26,77
564,3,25,18
565,0,14,-64
566,0,6,-149
567,0,4,20
568,5,64,-21
569,1,30,-107
570,0,8,-91
571,0,9,-149
572,1,26,-124
573,2,26,-95
574,0,8,-61
575,0,6,-147
576,0,6,-35
577,0,6,-86
578,2,39,-127
579,0,8,-18
580,0,7,-126
581,0,9,-58
582,0,11,-137
583,0,7,-96
584,3,62,-200
585,0,8,-60
586,0,11,34
587,1,18,-30
588,1,15,59
589,0,8,3
590,0,7,12
591,2,26,-24
592,0,7,-23
593,0,7,-125
594,2,20,4
595,0,6,-132
596,2,20,35
597,2,32,189
598,0,7,-48
599,0,8,-15
600,0,12,-20
601,4,48,184
602,0,7,-55
603,1,25,-28
604,3,24,-5
605,1,20,-127
606,0,6,-35
607,1,20,-122
608,0,7,-36
609,0,6,-137
610,0,7,-51
611,0,7,-77
612,10,115,-103
613,0,9,-100
614,0,7,-43
615,0,6,-119
616,0,6,-132
617,7,73,2
618,2,31,-55
619,0,13,-103
620,0,5,-137
621,0,9,-172
622,0,7,-54
623,1,24,-22
624,0,6,-29
625,0,6,-32
626,0,20,-116
627,1,21,-27
628,2,18,-37
629,2,42,-29
630,0,9,-147
631,0,7,-135
632,0,9,-8
633,4,66,97
634,1,24,-40
635,9,85,325
636,0,5,-151
637,0,8,-59
638,2,25,17
639,0,8,-27
640,1,47,-203
641,0,8,-1
642,0,6,-101
643,0,16,-129
644,6,61,-25
645,0,6,-87
646,2,38,56
647,0,6,-84
648,0,8,7
649,0,9,-47
650,0,7,-95
651,0,6,-19
652,0,6,-132
653,1,15,-2
654,2,25,-120
655,3,50,-107
656,5,61,-200
657,2,29,-97
658,0,6,-103
659,0,6,-54
660,0,10,-44
661,0,14,-62
662,0,6,-140
663,3,27,-3
664,0,8,16
665,0,16,-149
666,0,16,22
667,3,19,-70
668,0,13,-149
669,0,8,-101
670,2,25,-105
671,0,7,-93
672,16,128,167
673,0,6,-82
674,3,58,-74
675,0,7,-34
676,11,106,-10
677,3,20,70
678,0,13,-74
679,0,10,-61
680,0,10,-142
681,1,18,-92
682,0,7,-93
